"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00059287","1951","23.217","113.483","71.0","GUANGZHOU, CH","","","","","       164","s","       124","s","        23","s","","","","","         0","s","       278","s","        81","s","",""," 106.4"," ,s,0628, ","   36.5","s,0731, ","","","","","","","","","   1880.0"," ,s","","","     25.56","s","",""
"CHM00059287","1952","23.217","113.483","71.0","GUANGZHOU, CH","   2085.0","","    2085.0","s","       142","s","        85","s","        18","s","         0","s","         0","s","         0","s","       292","s","        92","s","    1.6","s,0219, "," 130.0"," ,s,0407, ","   37.1","s,0704, ","","","","","     310.8","8","     310.8","s","   1737.4"," ,s","     22.96","s","     26.97","s","     18.96","s"
"CHM00059287","1953","23.217","113.483","71.0","GUANGZHOU, CH","   1895.6","","    1895.6","s","       164","s","       120","s","        25","s","         0","s","         0","s","         0","s","       272","s","        70","s","    5.3","s,0107, "," 143.1"," ,s,0919, ","   38.7","s,0812, ","","","","","     436.0","0","     436.0","s","   2027.2"," ,s","     22.39","s","     25.82","s","     18.95","s"
"CHM00059287","1954","23.217","113.483","71.0","GUANGZHOU, CH","   1922.5","","    1922.5","s","       129","s","        95","s","        21","s","         0","s","         0","s","         0","s","       283","s","        70","s","    3.7","s,1217,+","  70.7"," ,s,0806, ","   36.1","s,0815, ","","","","","     414.0","0","     414.0","s","   1689.4"," ,s","     22.29","s","     25.99","s","     18.58","s"
"CHM00059287","1955","23.217","113.483","71.0","GUANGZHOU, CH","   1870.8","","    1870.8","s","       111","s","        75","s","        19","s","         0","s","         0","s","         0","s","       300","s","        52","s","    0.7","s,0112,+"," 284.9"," ,s,0606, ","   34.8","s,0923, ","","","","","     455.4","4","     455.4","s","   1923.4"," ,s","     22.39","s","     26.41","s","     18.38","s"
"CHM00059287","1956","23.217","113.483","71.0","GUANGZHOU, CH","   1973.6","","    1973.6","s","       131","s","        77","s","        12","s","         0","s","         0","s","         0","s","       276","s","        83","s","    1.4","s,0109, ","  73.6"," ,s,0527, ","   36.3","s,0904, ","","","","","     464.0","0","     464.0","s","   1158.5"," ,s","     22.28","s","     25.91","s","     18.65","s"
"CHM00059287","1957","23.217","113.483","71.0","GUANGZHOU, CH","   1824.6","","    1824.6","s","       149","s","        97","s","        23","s","         0","s","         1","s","         0","s","       280","s","        68","s","    0.0","s,0211, "," 156.4"," ,s,0520, ","   36.1","s,0814, ","","","0.0","s,0211","     517.6","6","     517.6","s","   1988.5"," ,s","     22.07","s","     25.66","s","     18.48","s"
"CHM00059287","1958","23.217","113.483","71.0","GUANGZHOU, CH","   1936.6","","    1936.6","s","       125","s","        76","s","        15","s","         0","s","         0","s","         0","s","       307","s","        70","s","    2.5","s,0117, ","  66.6"," ,s,0403, ","   36.9","s,0716, ","","","","","     387.9","9","     387.9","s","   1272.0"," ,s","     22.54","s","     26.50","s","     18.59","s"
"CHM00059287","1959","23.217","113.483","71.0","GUANGZHOU, CH","   1993.4","","    1993.4","s","       141","s","        96","s","        28","s","         0","s","         0","s","         0","s","       293","s","        64","s","    3.1","s,0118, "," 125.4"," ,s,0601, ","   35.7","s,0829, ","","","","","     368.6","6","     368.6","s","   2235.6"," ,s","     22.65","s","     26.48","s","     18.82","s"
"CHM00059287","1960","23.217","113.483","71.0","GUANGZHOU, CH","   1948.6","","    1948.6","s","       125","s","        76","s","        12","s","         0","s","         0","s","         0","s","       298","s","        57","s","    2.2","s,0103, "," 198.2"," ,s,0810, ","   35.4","s,0822, ","","","","","     313.3","3","     313.3","s","   1410.7"," ,s","     22.74","s","     26.49","s","     18.99","s"
